name;address;station_id;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Stasiun Meteorologi Tarempa;Jl. Hang Tuah No.10 Tarempa;96145;0-20000-0-96145;3.2;106.25;2;Region I;Kepulauan Riau;Kab. Kepulauan Anambas;Meteorologi;UTC+07:00
Stasiun Meteorologi Maritim Natuna;Jl. Adi Sucipto No.147 Ranai;96147;0-20000-0-96147;3.91206;108.39;2;Region I;Kepulauan Riau;Kab. Natuna;Meteorologi;UTC+07:00
Stasiun Meteorologi Maritim Teluk Bayur;Jl. Sutan Syahrir Komplek Pelindo Nomor 26 Rawang, Mata Air, Padang, Sumatera Barat;96161;;-0.99639;100.37222;2;Region I;Sumatera Barat;Kota Padang;Meteorologi;UTC+07:00
Stasiun Meteorologi Minangkabau;Jl. Mr. H. St. Moh. Rasyid, Talao Mundam, Nagari Katapiang Kec. Batang Anai, Kab. Padang Pariaman, Sumatera Barat;96163;;-0.79355;100.28917;6;Region I;Sumatera Barat;Kab. Padang Pariaman;Meteorologi;UTC+07:00
Stasiun Geofisika Padang Panjang;Jl. Meteorologi, Silaing Bawah, Kec. Padang Panjang Barat, Kota Padang Panjang, Sumatera Barat;96165;;-0.4663;100.3797;735;Region I;Sumatera Barat;Kota Padang Panjang;Geofisika;UTC+07:00
Stasiun Klimatologi Sumatera Barat;Jl. Raya Padang-Bukit tinggi Km. 51 Kapalo Hilalang Kec. Kayu Tanam Kab. Padang Pariaman;96167;;-0.54549;100.29786;128;Region I;Sumatera Barat;Kab. Padang Pariaman;Klimatologi;UTC+07:00
Stasiun Meteorologi Kelas II Japura Indragiri Hulu;Jl. Lintas Timur, Sidomulyo, Kec. Lirik, Kab. Indragiri Hulu, Riau;96171;;-0.33;102.32;19;Region I;Riau;Kab. Indragiri Hulu;Meteorologi;UTC+07:00
Stasiun Meteorologi Dabo;Jl. Garuda Po.Box 6 Dabo Singkep;96179;;-0.48;104.58;29;Region I;Kepulauan Riau;Kab. Lingga;Meteorologi;UTC+07:00
Stasiun Klimatologi  Jambi;Jl. Jambi - Muara Bulian KM 18, Desa Simpang Sungai Duren, Kec. Jambi Luar Kota, Kab. Muaro Jambi, Jambi;96191;;-1.6019;103.48444;24;Region II;Jambi;Kab. Muaro Jambi;Klimatologi;UTC+07:00
Stasiun Meteorologi Sultan Thaha;Jl. Sersan Udara Syawal, Paal Merah Baru, Jambi;96195;;-1.635166;103.6453;27;Region II;Jambi;Kota Jambi;Meteorologi;UTC+07:00
Stasiun Pemantau Atmosfer Global Bukit Koto Tabang;Jl. Raya Bukittinggi - Medan Km. 15, Palupuh, Kabupaten Agam, Sumatera Barat;96169;;-0.2505;100.3823;895;Region I;Sumatera Barat;Kab. Agam;Klimatologi;UTC+07:00
Stasiun Meteorologi Depati Parbo;Bandara Depati Parbo Kerinci;96207;;-2.083;101.45;782;Region II;Jambi;Kab. Kerinci;Meteorologi;UTC+07:00
Stasiun Meteorologi Sultan Mahmud Badaruddin II;Jl. Sultan Mahmud Badaruddin II KM.10,5 Palembang;96221;;-2.89468;104.70129;12;Region II;Sumatera Selatan;Kota Palembang;Meteorologi;UTC+07:00
Stasiun Klimatologi Sumatera Selatan;Jl. Mayjen Yusuf Singedekane Kawasan Musi II No.16, Keramasan, Kec. Kertapati, Kota Palembang, Sumatera Selatan;96223;;-2.92732;104.77197;11;Region II;Sumatera Selatan;Kota Palembang;Klimatologi;UTC+07:00
Stasiun Meteorologi Depati Amir;Jl. Bandar Udara Depati Amir Pangkalpinang;96237;;-2.17;106.13;10;Region II;Kepulauan Bangka Belitung;Kota Pangkal Pinang;Meteorologi;UTC+07:00
Stasiun Geofisika Tanjung Pandan;;96247;;-2.7575;107.65;22;Region II;Kepulauan Bangka Belitung;Kab. Belitung;Geofisika;UTC+07:00
Stasiun Meteorologi H. AS. Hananjoeddin;Jl. Bandar Udara H AS.Hanandjoeddin Tanjungpandan;96249;;-2.75;107.75;50;Region II;Kepulauan Bangka Belitung;Kab. Belitung;Meteorologi;UTC+07:00
Stasiun Meteorologi Fatmawati Soekarno;Jl. Raya Padang Kemiling, Kelurahan Pekan Sabtu, Kecamatan Selebar, Bengkulu;96253;;-3.8582;102.3367;24;Region II;Bengkulu;Kota Bengkulu;Meteorologi;UTC+07:00
Stasiun Klimatologi Bengkulu;Jl. Ir. Rustandi Sugianto Bengkulu;96255;;-3.8644;102.3107;9;Region II;Bengkulu;Kota Bengkulu;Klimatologi;UTC+07:00
Stasiun Geofisika Kepahiang;Jl. Pembangunan No. 156 Pasar Ujung, Kepahiang;96257;;-3.55;102.589;517;Region II;Bengkulu;Kab. Kepahiang;Geofisika;UTC+07:00
Stasiun Klimatologi Lampung;Jl. Raya Lintas Sumatera KM.35 Tegineneng Pesawaran Lampung;96291;;-5.17223;105.180834;74;Region II;Lampung;Kab. Pesawaran;Klimatologi;UTC+07:00
Stasiun Meteorologi Maritim Panjang;Jl. Yos Sudarso No.64 Way Lunik Panjang Bandar Lampung;96293;;-5.4721;105.321;7;Region II;Lampung;Kota Bandar Lampung;Meteorologi;UTC+07:00
Stasiun Meteorologi Radin Inten II;Komp. Perkantoran Bandara Raden Inten II, KM. 28 Branti, Natar, Lampung Selatan;96295;;-5.23957;105.17417;85;Region II;Lampung;Kab. Lampung Selatan;Meteorologi;UTC+07:00
Stasiun Geofisika Lampung Utara;Jl. Raden Intan No. 219 Kotaalam, Kotabumi Selatan, Lampung Utara, Lampung;96297;;-4.83631;104.87;60;Region II;Lampung;Kab. Lampung Utara;Geofisika;UTC+07:00
Stasiun Meteorologi Yuvai Semaring;Long Katung, Krayan, Nunukan, Kalimantan Timur;96505;;3.86;115.68;1090;Region III;Kalimantan Utara;Kab. Nunukan;Meteorologi;UTC+08:00
Stasiun Meteorologi Nunukan;Jl. Arief Rahman Hakim No.15 Nunukan Timur, Nunukan, Kalimantan Utara;96503;;4.13;117.67;8;Region III;Kalimantan Utara;Kab. Nunukan;Meteorologi;UTC+08:00
Stasiun Meteorologi Juwata;Jl. Mulawarman, Bandar Udara Internasional Juwata, Tarakan Barat, Tarakan, Kalimantan Utara;96509;;3.33;117.57;6;Region III;Kalimantan Utara;Kota Tarakan;Meteorologi;UTC+08:00
Stasiun Meteorologi Kalimarau;Jl. Bandara Kalimarau - Berau, Kalimantan Timur;96529;;2.1438827;117.4326943;13.3;Region III;Kalimantan Timur;Kab. Berau;Meteorologi;UTC+08:00
Pos Meteorologi Paloh;;96535;;1.74;109.3;15;Region II;Kalimantan Barat;Kab. Sambas;Meteorologi;UTC+07:00
Stasiun Meteorologi Nangapinoh;Jl. Juang Km 2,5 Komplek Bandar Udara Nanga Pinoh, Kec. Nanga Pinoh, Kab. Melawi, Kalimantan Barat;96557;;-0.42;111.47;40;Region II;Kalimantan Barat;Kab. Melawi;Meteorologi;UTC+07:00
Stasiun Meteorologi Tebelian;Jl. Patih Tengan, Tebelian, Sintang;96559;;0.06;111.47;31;Region II;Kalimantan Barat;Kab. Sintang;Meteorologi;UTC+07:00
Stasiun Meteorologi Pangsuma;Jl. Adi Sucipto, Kedamin Hulu, Putussibau Selatan;96565;;0.8389;112.9348;43;Region II;Kalimantan Barat;Kab. Kapuas Hulu;Meteorologi;UTC+07:00
