name;wmo_id;alamat;wigos_id;latitude;longitude;elevation_m;region_desc;provinsi_name;kabupaten_name;type_MeteorologiKlimatologiGeofisika;time_zone
Stasiun Meteorologi Tanah Merah;97876;;;-6.1;140.31;97;Region V;Papua;Kab. Boven Digoel;Meteorologi;9
Stasiun Meteorologi Mathilda Batlayeri;97900;;0-20000-0-97900;0;0;0;Region II;Sumatera Selatan;Kota Pagar Alam;Meteorologi;9
Stasiun Geofisika Maluku Tenggara Barat;97902;;;5.367;95.95;23;Region IV;Maluku;Kab. Kepulauan Tanimbar;Geofisika;9
Stasiun Klimatologi Papua Selatan;97978;;;0;0;0;Region IV;Maluku Utara;Kab. Halmahera Utara;Klimatologi;9
Stasiun Meteorologi Mopah;97980;;;0;0;0;Region II;Lampung;Kab. Pesisir Barat;Meteorologi;9
Pos Meteorologi Liwa Lampung;99921;;;-5.01695;104.05891;0;Region II;Lampung;Kab. Lampung Barat;Meteorologi;7
Stasiun Geofisika Sukabumi;99923;;;0;0;0;Region III;Kalimantan Utara;Kab. Malinau;Geofisika;7
Pos Polusi Udara Cibeureum;99925;;;0;0;0;Region IV;Maluku;Kab. Seram Bagian Timur;Klimatologi;7
Pos Meteorologi Bandara Notohadinegoro - Jember;99927;;;-8.246193;113.694912;264;Region III;Jawa Timur;Kab. Jember;Meteorologi;7
Pos Meteorologi Lede Kalumbang - Tambolaka;99931;;;3.7405;97.61631;440;Region I;Aceh;Kab. Gayo Lues;Meteorologi;8
Stasiun Geofisika Mataram;99932;;;5.18564;96.46178;18;Region I;Aceh;Kab. Bireuen;Geofisika;8
Stasiun Geofisika Aceh Selatan;99933;;;3.17333;97.28637;2;Region I;Aceh;Kab. Aceh Selatan;Geofisika;7
AWOS A. A. Bere Tallo;99954;;;4.58689;95.66125;8;Region I;Aceh;Kab. Aceh Jaya;Meteorologi;8
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah II;99992;;;2.63;96.14;12;Region I;Aceh;Kab. Simeulue;Balai;7
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah V;99995;;;-2.57522;140.68624;0;Region V;Papua;Kota Jayapura;Balai;9
