name;station_id;address;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Stasiun Meteorologi Dabo;96179;Jl. Garuda Po.Box 6 Dabo Singkep;;-0.48;104.58;29;Region I;Kepulauan Riau;Kab. Lingga;1;UTC+07:00
Stasiun Klimatologi  Jambi;96191;Jl. Jambi - Muara Bulian KM 18, Desa Simpang Sungai Duren, Kec. Jambi Luar Kota, Kab. Muaro Jambi, Jambi;;4.91;97.72;22;Region I;Aceh;Kab. Aceh Timur;2;UTC+07:00
Stasiun Meteorologi Sultan Thaha;96195;Jl. Sersan Udara Syawal, Paal Merah Baru, Jambi;;1.74;109.3;15;Region II;Kalimantan Barat;Kab. Sambas;1;UTC+07:00
Stasiun Meteorologi Depati Parbo;96207;Bandara Depati Parbo Kerinci;;-2.083;101.45;782;Region II;Jambi;Kab. Kerinci;1;UTC+07:00
Stasiun Meteorologi Sultan Mahmud Badaruddin II;96221;Jl. Sultan Mahmud Badaruddin II KM.10,5 Palembang;;0.8389;112.9348;43;Region II;Kalimantan Barat;Kab. Kapuas Hulu;1;UTC+07:00
Stasiun Klimatologi Sumatera Selatan;96223;Jl. Mayjen Yusuf Singedekane Kawasan Musi II No.16, Keramasan, Kec. Kertapati, Kota Palembang, Sumatera Selatan;;-2.92732;104.77197;11;Region II;Sumatera Selatan;Kota Palembang;2;UTC+07:00
Taman Alat Digital Staklim Sumsel;96225;Jl. Mayjen Yusuf Singedekane Kawasan Musi II No.16, Keramasan, Kec. Kertapati, Kota Palembang, Sumatera Selatan;;-3.0156;104.43;4;Region II;Sumatera Selatan;Kota Palembang;2;UTC+07:00
Stasiun Meteorologi Depati Amir;96237;Jl. Bandar Udara Depati Amir Pangkalpinang;;4.29;97.54;590;Region I;Aceh;Kab. Aceh Timur;1;UTC+07:00
Stasiun Klimatologi Bangka Belitung;96239;Komp. Perkantoran Terpadu Pemkab. Bangka Tengah, Jl. Kartika I, Koba, Kep. Bangka-Belitung;;-2.518;106.422;5.8;Region II;Kepulauan Bangka Belitung;Kab. Bangka Tengah;2;UTC+07:00
Stasiun Meteorologi H. AS. Hananjoeddin;96249;Jl. Bandar Udara H AS.Hanandjoeddin Tanjungpandan;;-0.48;117.16;10;Region III;Kalimantan Timur;Kota Samarinda;1;UTC+07:00
Stasiun Meteorologi Fatmawati Soekarno;96253;Jl. Raya Padang Kemiling, Kelurahan Pekan Sabtu, Kecamatan Selebar, Bengkulu;;4.64213;97.63;47;Region I;Aceh;Kab. Aceh Timur;1;UTC+07:00
Stasiun Klimatologi Bengkulu;96255;Jl. Ir. Rustandi Sugianto Bengkulu;;-1.26;116.9;3;Region III;Kalimantan Timur;Kota Balikpapan;2;UTC+07:00
Stasiun Geofisika Kepahiang;96257;Jl. Pembangunan No. 156 Pasar Ujung, Kepahiang;;4.37946;97.12419;444;Region I;Aceh;Kab. Aceh Tengah;3;UTC+07:00
Pangeran Mohammad Bunyamin TNIAU;96273;;;43600;1051400;21;Region II;Lampung;Kab. Tulang Bawang;1;UTC+07:00
Stasiun Klimatologi Lampung;96291;Jl. Raya Lintas Sumatera KM.35 Tegineneng Pesawaran Lampung;;-2.55;112.93;3;Region III;Kalimantan Tengah;Kab. Kotawaringin Timur;2;UTC+07:00
Stasiun Meteorologi Maritim Panjang;96293;Jl. Yos Sudarso No.64 Way Lunik Panjang Bandar Lampung;;-1.67;114.9;27;Region III;Kalimantan Tengah;Kab. Barito Selatan;1;UTC+07:00
Stasiun Meteorologi Radin Inten II;96295;Komp. Perkantoran Bandara Raden Inten II, KM. 28 Branti, Natar, Lampung Selatan;;-2.22;113.95;11;Region III;Kalimantan Tengah;Kota Palangkaraya;1;UTC+07:00
Stasiun Geofisika Lampung Utara;96297;Jl. Raden Intan No. 219 Kotaalam, Kotabumi Selatan, Lampung Utara, Lampung;;-4.83631;104.87;60;Region II;Lampung;Kab. Lampung Utara;3;UTC+07:00
Stasiun Meteorologi Nunukan;96503;Jl. Arief Rahman Hakim No.15 Nunukan Timur, Nunukan, Kalimantan Utara;;-6.2867;106.56389;46;Region II;Banten;Kab. Tangerang;1;UTC+08:00
Stasiun Meteorologi Yuvai Semaring;96505;Long Katung, Krayan, Nunukan, Kalimantan Timur;;-3.3;116.17;2;Region III;Kalimantan Selatan;Kab. Kotabaru;1;UTC+08:00
Stasiun Meteorologi Juwata;96509;Jl. Mulawarman, Bandar Udara Internasional Juwata, Tarakan Barat, Tarakan, Kalimantan Utara;;-6.12;106.65;11;Region II;Banten;Kota Tangerang;1;UTC+08:00
Stasiun Meteorologi Tanjung Harapan;96525;Jl. Ulin No.119 Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara;;2.5;117.22;3;Region III;Kalimantan Utara;Kab. Bulungan;1;UTC+08:00
Stasiun Meteorologi Kalimarau;96529;Jl. Bandara Kalimarau - Berau, Kalimantan Timur;;6.33;106.45;207;Region II;Jawa Barat;Kota Bogor;1;UTC+08:00
Stasiun Meteorologi Singkawang;96531;Komplek Bandar Udara Singkawang, Kelurahan Pangmilang, Kec. Singkawang Selatan, Kota Singkawang;;0.787194;108.958167;5;Region II;Kalimantan Barat;Kab. Bengkayang;1;UTC+07:00
Harry Hadisoemantri TNIAU;96533;Jl. Raya Pontianak-Mempawah Km 20.5 Sei Nipah Kec. Jongkat, Kab. Mempawah, Kalimantan Barat;;1;109;97;Region II;Kalimantan Barat;Kab. Bengkayang;1;UTC+07:00
Pos Meteorologi Paloh;96535;Jl. Raya Pontianak-Mempawah Km 20.5 Sei Nipah Kec. Jongkat, Kab. Mempawah, Kalimantan Barat;;-6.7344;108.263;42.3;Region II;Jawa Barat;Kab. Majalengka;1;UTC+07:00
Stasiun Meteorologi Nangapinoh;96557;Jl. Juang Km 2,5 Komplek Bandar Udara Nanga Pinoh, Kec. Nanga Pinoh, Kab. Melawi, Kalimantan Barat;;4.60139;96.87319;1242;Region I;Aceh;Kab. Aceh Tengah;1;UTC+07:00
Stasiun Meteorologi Tebelian;96559;Jl. Patih Tengan, Tebelian, Sintang;;-5.8511;112.6578;3;Region III;Jawa Timur;Kab. Gresik;1;UTC+08:00
Stasiun Meteorologi Pangsuma;96565;Jl. Adi Sucipto, Kedamin Hulu, Putussibau Selatan;;4.37721;96.76104;1535;Region I;Aceh;Kab. Aceh Tengah;1;UTC+07:00
Stasiun Meteorologi Supadio;96581;Jl. Adi Sucipto Km.17 Komplek Bandar Udara Supadio Pontianak, Kalimantan Barat;;-0.14186;109.403;3;Region II;Kalimantan Barat;Kota Pontianak;1;UTC+07:00
Stasiun Klimatologi Kalimantan Barat;96583;Jl. Raya Pontianak-Mempawah Km 20.5 Sei Nipah Kec. Jongkat, Kab. Mempawah, Kalimantan Barat;;4.62;96.64;1020;Region I;Aceh;Kab. Aceh Tengah;2;UTC+07:00
Stasiun Meteorologi Maritim Pontianak;96585;Jl. Pelabuhan (Kompleks Pelabuhan Dwikora) Pontianak;0-20000-0-96585;2.3417;97.38275;16;Region I;Aceh;Kab. Aceh Singkil;1;UTC+07:00
Stasiun Meteorologi Beringin;96595;Jl. Pendreh No 187, Kelurahan Melayu, Kec. Teweh Tengah, Kab. Barito Utara;;-0.56;114.53;42;Region III;Kalimantan Tengah;Kab. Barito Utara;1;UTC+07:00
Stasiun Meteorologi Aji Pangeran Tumenggung Pranoto;96607;Jl. Pipit No.150 Kel.Bandara Kec.Sei Pinang Kota Samarinda;;4.23045;96.16877;6;Region I;Aceh;Kab. Aceh Barat;1;UTC+08:00
Stasiun Meteorologi Rahadi Oesman;96615;Jl. Patimura no. 11 Kalinilam, Delta Pawan, Ketapang;;4.31131;96.20003;15;Region I;Aceh;Kab. Aceh Barat;1;UTC+07:00
Stasiun Meteorologi Sultan Aji Muhammad Sulaiman Sepinggan;96633;Jl. Marsma R. Iswahyudi No.356 Sepinggan Balikpapan;;4.22752;96.16491;10;Region I;Aceh;Kab. Aceh Barat;1;UTC+08:00
Stasiun Geofisika Balikpapan;96635;Jl. Marsma Iswahyudi No.354, Sepinggan, Balikpapan, Kalimantan Timur;;4.54837;96.11086;58;Region I;Aceh;Kab. Aceh Barat;3;UTC+08:00
Stasiun Meteorologi Iskandar;96645;Jl. Iskandar Bandara Iskandar Pangkalan Bun kab. Kotawaringin Barat;;-1.42038;120.65701;10;Region IV;Sulawesi Tengah;Kab. Poso;1;UTC+07:00
Stasiun Meteorologi H. Asan;96651;Jl. Samekto, Bandar Udara Haji Asan Sampit, Kel. Baamang Hulu, Kec. Baamang, Kab. Kotawaringin Timur;;-2.55;112.93;3;Region III;Kalimantan Tengah;Kab. Kotawaringin Timur;1;UTC+07:00
Stasiun Meteorologi Sanggu;96653;Jl. Merdeka, Bandar Udara Sanggau, Buntok, PO Box 18;-;-1.67;114.9;27;Region III;Kalimantan Tengah;Kab. Barito Selatan;1;UTC+07:00
Stasiun Meteorologi Tjilik Riwut;96655;Jl. Adonis Samad, Kel. Panarung, Kec. Pahandut, Kota Palangka Raya;;-2.22;113.95;11;Region III;Kalimantan Tengah;Kota Palangkaraya;1;UTC+07:00
Stasiun Meteorologi Syamsudin Noor;96685;Jl. Angkasa Bandar Udara Syamsudin Noor Banjarmasin;;-5.07;119.55;14;Region IV;Sulawesi Selatan;Kab. Maros;1;UTC+08:00
